Id,Rol,Sexo,Edad,Fecha fallecimiento,Rango edad,Num víctimas,Fecha,Año,Mes,Día,Hora completa,Hora,Lugar del hecho,Tipo de calle,Calle,Cruce,Dirección normalizada,Comuna,Xy (caba),Pos x,Pos y,Participantes,Victima,Acusado,Coordenada x,Coordenada y,Barrios,Día semana
2016-0001,CONDUCTOR,MASCULINO,19,2016-01-01,Menos de 20,1.0,2016-01-01,2016.0,1.0,1.0,04:00:00,4.0,AV PIEDRA BUENA Y AV FERNANDEZ DE LA CRUZ,AVENIDA,PIEDRA BUENA AV.,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.","PIEDRA BUENA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",Comuna 8,Point (98896.78238426 93532.43437792),-58.47533969,-34.68757022,MOTO-AUTO,MOTO,AUTO,98896.78238426,93532.43437792,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Viernes
2016-0002,CONDUCTOR,MASCULINO,70,2016-01-02,Entre 61-80,1.0,2016-01-02,2016.0,1.0,2.0,01:15:00,1.0,AV GRAL PAZ  Y AV DE LOS CORRALES,GRAL PAZ,"PAZ, GRAL. AV.",DE LOS CORRALES AV.,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",Comuna 9,Point (95832.05571093 95505.41641999),-58.50877521,-34.66977709,AUTO-PASAJEROS,AUTO,PASAJEROS,95832.05571093,95505.41641999,LINIERS - MATADEROS - PARQUE AVELLANEDA,Sabado
2016-0003,CONDUCTOR,MASCULINO,30,2016-01-03, Entre 21- 40,1.0,2016-01-03,2016.0,1.0,3.0,07:00:00,7.0,AV ENTRE RIOS 2034,AVENIDA,ENTRE RIOS AV.,,ENTRE RIOS AV. 2034,Comuna 1,Point (106684.29090040 99706.57687843),-58.39040293,-34.63189362,MOTO-AUTO,MOTO,AUTO,106684.2909004,99706.57687843,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Domingo
2016-0004,CONDUCTOR,MASCULINO,18,,Menos de 20,1.0,2016-01-10,2016.0,1.0,10.0,00:00:00,0.0,AV LARRAZABAL Y GRAL VILLEGAS CONRADO,AVENIDA,LARRAZABAL AV.,"VILLEGAS, CONRADO, GRAL.","LARRAZABAL AV. y VILLEGAS, CONRADO, GRAL.",Comuna 8,Point (99840.65224780 94269.16534422),-58.46503904,-34.68092974,MOTO-SD,MOTO,SD,99840.6522478,94269.16534422,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Domingo
2016-0005,CONDUCTOR,MASCULINO,29,2016-02-01, Entre 21- 40,1.0,2016-01-21,2016.0,1.0,21.0,05:20:00,5.0,AV SAN JUAN Y PRESIDENTE LUIS SAENZ PEÑA ,AVENIDA,SAN JUAN AV.,"SAENZ PE?A, LUIS, PRES.","SAN JUAN AV. y SAENZ PEÃ‘A, LUIS, PRES.",Comuna 1,Point (106980.32827929 100752.16915795),-58.38718297,-34.6224663,MOTO-PASAJEROS,MOTO,PASAJEROS,106980.32827929,100752.16915795,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Jueves
2016-0008,CONDUCTOR,MASCULINO,30,2016-01-24, Entre 21- 40,1.0,2016-01-24,2016.0,1.0,24.0,18:30:00,18.0,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,27 DE FEBRERO AV.,ESCALADA AV.,27 DE FEBRERO AV. y ESCALADA AV.,Comuna 8,Point (101721.59002217 93844.25656649),-58.44451316,-34.68475866,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,101721.59002217,93844.25656649,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Domingo
2016-0009,PASAJERO_ACOMPAÑANTE,MASCULINO,29,2016-01-26, Entre 21- 40,1.0,2016-01-24,2016.0,1.0,24.0,19:10:00,19.0,NOGOYA Y JOAQUIN V. GONZALES,CALLE,NOGOYA,"GONZALEZ, JOAQUIN V.","NOGOYA y GONZALEZ, JOAQUIN V.",Comuna 11,Point (96545.87592078 102330.67262199),-58.50095869,-34.6082544,MOTO-AUTO,MOTO,AUTO,96545.87592078,102330.67262199,VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA,Domingo
2016-0010,CONDUCTOR,MASCULINO,18,2016-01-29,Menos de 20,1.0,2016-01-29,2016.0,1.0,29.0,15:20:00,15.0,AV GENERAL PAZ Y AV DE LOS CORRALES,GRAL PAZ,"PAZ, GRAL. AV.",DE LOS CORRALES AV.,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",Comuna 9,Point (95832.05571093 95505.41641999),-58.50877521,-34.66977709,MOTO-AUTO,MOTO,AUTO,95832.05571093,95505.41641999,LINIERS - MATADEROS - PARQUE AVELLANEDA,Viernes
2016-0012,CONDUCTOR,MASCULINO,22,2016-02-08, Entre 21- 40,1.0,2016-02-08,2016.0,2.0,8.0,01:20:00,1.0,AV BELGRANO Y BERNARDO DE IRIGOYEN,AVENIDA,BELGRANO AV.,"IRIGOYEN, BERNARDO DE","BELGRANO AV. e IRIGOYEN, BERNARDO DE",Comuna 1,Point (107595.35084333 101797.50052813),-58.38048577,-34.61303893,MOTO-CARGAS,MOTO,CARGAS,107595.35084333,101797.50052813,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Lunes
2016-0013,PEATON,MASCULINO,16,2016-02-10,Menos de 20,1.0,2016-02-10,2016.0,2.0,10.0,11:30:00,11.0,AV ENTRE RIOS 1366,AVENIDA,ENTRE RIOS AV.,,ENTRE RIOS AV. 1366,Comuna 1,Point (106616.41069662 100496.44662323),-58.39114932,-34.62477387,PEATON-AUTO,PEATON,AUTO,106616.41069662,100496.44662323,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Miercoles
2016-0015,PEATON,FEMENINO,16,2016-02-14,Menos de 20,1.0,2016-02-14,2016.0,2.0,14.0,05:14:00,5.0,AV SCALABRINI ORTIZ Y VERA,AVENIDA,"SCALABRINI ORTIZ, RAUL AV.",VERA,"SCALABRINI ORTIZ, RAUL AV. y VERA",Comuna 15,Point (102357.43746828 103343.52002839),-58.4376002,-34.59912758,PEATON-AUTO,PEATON,AUTO,102357.43746828,103343.52002839,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,Domingo
2016-0016,PASAJERO_ACOMPAÑANTE,FEMENINO,19,2016-02-14,Menos de 20,1.0,2016-02-14,2016.0,2.0,14.0,22:00:00,22.0,AV REGIMIENTO DE PATRICIOS Y QUINQUELA MARTIN BENITO,AVENIDA,REGIMIENTO DE PATRICIOS AV.,"QUINQUELA MARTIN, BENITO","REGIMIENTO DE PATRICIOS AV. y QUINQUELA MARTIN, BENITO",Comuna 4,Point (108661.59115206 98481.75445555),-58.36882665,-34.64291993,MOTO-AUTO,MOTO,AUTO,108661.59115206,98481.75445555,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,Domingo
2016-0017,PEATON,MASCULINO,59,2016-02-16,Entre 41-60,1.0,2016-02-15,2016.0,2.0,15.0,16:54:00,16.0,MARIANO ACOSTA Y ANA MARIA JANER,AVENIDA,"ACOSTA, MARIANO","JANER, ANA MARIA","ACOSTA, MARIANO y JANER, ANA MARIA",Comuna 8,Point (101228.61094416 96623.72136186),-58.44989671,-34.65970435,PEATON-MOTO,PEATON,MOTO,101228.61094416,96623.72136186,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Lunes
2016-0019,PEATON,FEMENINO,65,2016-02-17,Entre 61-80,1.0,2016-02-17,2016.0,2.0,17.0,09:30:00,9.0,LISANDRO DE LA TORRE Y SEVERO GARCIA GRANDE DE ZEQUEIRA ,CALLE,"DE LA TORRE, LISANDRO","GARCIA GRANDE DE ZEQUEIRA, SEVERO","DE LA TORRE, LISANDRO y GARCIA GRANDE DE ZEQUEIRA, SEVERO",Comuna 9,Point (95727.37083199 97179.35560349),-58.50990884,-34.65468721,PEATON-PASAJEROS,PEATON,PASAJEROS,95727.37083199,97179.35560349,LINIERS - MATADEROS - PARQUE AVELLANEDA,Miercoles
2016-0020,PEATON,MASCULINO,59,2016-03-02,Entre 41-60,1.0,2016-02-17,2016.0,2.0,17.0,16:00:00,16.0,SUIPACHA 156,CALLE,SUIPACHA,,SUIPACHA 156,Comuna 1,Point (107684.31807562 102519.17333314),-58.37952223,-34.60653282,PEATON-AUTO,PEATON,AUTO,107684.31807562,102519.17333314,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Miercoles
2016-0021,CONDUCTOR,MASCULINO,34,2016-02-17, Entre 21- 40,1.0,2016-02-17,2016.0,2.0,17.0,23:35:00,23.0,AV DIRECTORIO Y CURAPALIGUE,AVENIDA,DIRECTORIO AV.,CURAPALIGUE,DIRECTORIO AV. y CURAPALIGUE,Comuna 7,Point (101074.94198885 99848.19369046),-58.45157703,-34.63063795,AUTO-AUTO,AUTO,AUTO,101074.94198885,99848.19369046,FLORES - PARQUE CHACABUCO,Miercoles
2016-0022,PASAJERO_ACOMPAÑANTE,MASCULINO,41,,Entre 41-60,1.0,2016-02-21,2016.0,2.0,21.0,06:00:00,6.0,AV 9 DE JULIO Y ADOLFO ALSINA,AVENIDA,9 DE JULIO AV.,"ALSINA, ADOLFO","9 DE JULIO AV. y ALSINA, ADOLFO",Comuna 1,Point (107507.39502374 102046.08333077),-58.38144696,-34.61079875,MOTO-AUTO,MOTO,AUTO,107507.39502374,102046.08333077,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Domingo
2016-0025,PASAJERO_ACOMPAÑANTE,MASCULINO,34,2016-02-28, Entre 21- 40,1.0,2016-02-28,2016.0,2.0,28.0,04:50:00,4.0,AV GRAL PAZ Y AV 27 DE FEBRERO,GRAL PAZ,"PAZ, GRAL. AV.",27 DE FEBRERO AV.,"PAZ, GRAL. AV. y 27 DE FEBRERO AV.",Comuna 8,Point (100077.95205948 91571.23307293),-58.46244952,-34.70524971,AUTO-AUTO,AUTO,AUTO,100077.95205948,91571.23307293,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Domingo
2016-0026,CONDUCTOR,MASCULINO,30,2016-03-04, Entre 21- 40,1.0,2016-02-28,2016.0,2.0,28.0,07:30:00,7.0,HOLMBERG Y VEDIA,CALLE,HOLMBERG,VEDIA,HOLMBERG y VEDIA,Comuna 12,Point (97350.75566590 109083.19420265),-58.49216191,-34.54738649,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,97350.7556659,109083.19420265,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,Domingo
2016-0027,PASAJERO_ACOMPAÑANTE,MASCULINO,34,, Entre 21- 40,1.0,2016-02-28,2016.0,2.0,28.0,09:35:00,9.0,CURAPALIGUE Y AVELINO DIAZ,AVENIDA,CURAPALIGUE AV.,"DIAZ, AVELINO","CURAPALIGUE AV. y DIAZ, AVELINO",Comuna 7,Point (101679.82794245 98973.02976850),-58.44497874,-34.63852623,AUTO-AUTO,AUTO,AUTO,101679.82794245,98973.0297685,FLORES - PARQUE CHACABUCO,Domingo
2016-0028,PEATON,MASCULINO,50,2016-03-02,Entre 41-60,1.0,2016-03-02,2016.0,3.0,2.0,10:00:00,10.0,VIAMONTE Y AV 9 DE JULIO,AVENIDA,VIAMONTE,9 DE JULIO AV.,VIAMONTE y 9 DE JULIO AV.,Comuna 1,Point (107457.87314266 103212.28518029),-58.38199706,-34.60028648,PEATON-CARGAS,PEATON,CARGAS,107457.87314266,103212.28518029,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Miercoles
2016-0029,PEATON,MASCULINO,38,2016-03-04, Entre 21- 40,1.0,2016-03-04,2016.0,3.0,4.0,17:30:00,17.0,AV CABILDO Y DEHEZA,AVENIDA,CABILDO AV.,DEHEZA,CABILDO AV. y DEHEZA,Comuna 12,Point (99037.31284333 109733.12041651),-58.47378664,-34.54153077,PEATON-PASAJEROS,PEATON,PASAJEROS,99037.31284333,109733.12041651,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,Viernes
2016-0031,CONDUCTOR,MASCULINO,21,, Entre 21- 40,1.0,2016-03-08,2016.0,3.0,8.0,12:30:00,12.0,AV GRAL PAZ Y AV CNEL ROCA,GRAL PAZ,"PAZ, GRAL. AV.","ROCA, CNEL. AV.","PAZ, GRAL. AV. y ROCA, CNEL. AV.",Comuna 8,Point (99327.01838497 92326.91130631),-58.47064556,-34.69843756,MOTO-PASAJEROS,MOTO,PASAJEROS,99327.01838497,92326.91130631,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Martes
2016-0034,PEATON,MASCULINO,52,2016-03-12,Entre 41-60,1.0,2016-03-12,2016.0,3.0,12.0,12:30:00,12.0,AV AMANCIO ALCORTA Y BONAVENA,AVENIDA,"ALCORTA, AMANCIO AV.","BONAVENA, OSCAR NATALIO","ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",Comuna 4,Point (105230.98315750 97613.97258373),-58.40623949,-34.65076549,PEATON-PASAJEROS,PEATON,PASAJEROS,105230.9831575,97613.97258373,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,Sabado
2016-0035,CONDUCTOR,MASCULINO,34,2016-03-13, Entre 21- 40,1.0,2016-03-13,2016.0,3.0,13.0,06:00:00,6.0,AV CORRIENTES Y AV CALLAO,AVENIDA,CORRIENTES AV.,CALLAO AV.,CORRIENTES AV. y CALLAO AV.,Comuna 3,Point (106513.41423248 102752.75354401),-58.39228965,-34.60443527,MOTO-PASAJEROS,MOTO,PASAJEROS,106513.41423248,102752.75354401,BALVANERA - SAN CRISTOBAL,Domingo
2016-0036,PASAJERO_ACOMPAÑANTE,MASCULINO,36,2016-03-14, Entre 21- 40,1.0,2016-03-14,2016.0,3.0,14.0,00:15:00,0.0,HERRERA Y ARISTOBULO DEL VALLE,CALLE,HERRERA,"VALLE, ARISTOBULO DEL","HERRERA y VALLE, ARISTOBULO DEL",Comuna 4,Point (107808.84957181 99174.17105826),-58.37813396,-34.63668504,MOTO-PASAJEROS,MOTO,PASAJEROS,107808.84957181,99174.17105826,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,Lunes
2016-0037,CONDUCTOR,MASCULINO,20,2016-03-19, Entre 21- 40,1.0,2016-03-19,2016.0,3.0,19.0,11:00:00,11.0,AV. EVA PERON Y QUIRNO,AVENIDA,LAFUENTE AV.,QUIRNO,LAFUENTE AV. y QUIRNO,Comuna 7,Point (100049.60313526 98412.21255444),-58.46275892,-34.64358293,MOTO-MOTO,MOTO,MOTO,100049.60313526,98412.21255444,FLORES - PARQUE CHACABUCO,Sabado
2016-0038,PEATON,MASCULINO,29,2016-03-21, Entre 21- 40,1.0,2016-03-21,2016.0,3.0,21.0,08:06:00,8.0,AV GRAL PAZ COLECTORA Y ZUVIRIA,GRAL PAZ,"PAZ, GRAL. AV.",ZUVIRIA,"PAZ, GRAL. AV. y ZUVIRIA",Comuna 8,Point (96926.79887463 94490.76318635),-58.49683458,-34.67892743,PEATON-PASAJEROS,PEATON,PASAJEROS,96926.79887463,94490.76318635,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Lunes
2016-0039,CONDUCTOR,MASCULINO,20,2016-03-23, Entre 21- 40,1.0,2016-03-23,2016.0,3.0,23.0,01:50:00,1.0,BARTOLOME MITRE Y AV PUEYRREDON,AVENIDA,"MITRE, BARTOLOME",PUEYRREDON AV.,"MITRE, BARTOLOME y PUEYRREDON AV.",Comuna 3,Point (105252.60308563 102264.96028996),-58.40603217,-34.6088396,MOTO-PASAJEROS,MOTO,PASAJEROS,105252.60308563,102264.96028996,BALVANERA - SAN CRISTOBAL,Miercoles
2016-0041,CONDUCTOR,MASCULINO,54,2016-03-29,Entre 41-60,2.0,2016-03-29,2016.0,3.0,29.0,11:00:00,11.0,AV DIRECTORIO Y RIVERA INDARTE,AVENIDA,DIRECTORIO AV.,RIVERA INDARTE AV.,DIRECTORIO AV. y RIVERA INDARTE AV.,Comuna 7,Point (100232.38564985 99530.25843190),-58.4607655,-34.63350444,MOTO-CARGAS,MOTO,CARGAS,100232.38564985,99530.2584319,FLORES - PARQUE CHACABUCO,Martes
2016-0041,PASAJERO_ACOMPAÑANTE,MASCULINO,0,2016-03-30,Menos de 20,2.0,2016-03-29,2016.0,3.0,29.0,11:00:00,11.0,AV DIRECTORIO Y RIVERA INDARTE,AVENIDA,DIRECTORIO AV.,RIVERA INDARTE AV.,DIRECTORIO AV. y RIVERA INDARTE AV.,Comuna 7,Point (100232.38564985 99530.25843190),-58.4607655,-34.63350444,MOTO-CARGAS,MOTO,CARGAS,100232.38564985,99530.2584319,FLORES - PARQUE CHACABUCO,Martes
2016-0043,PEATON,FEMENINO,56,2016-03-30,Entre 41-60,1.0,2016-03-30,2016.0,3.0,30.0,18:15:00,18.0,DELLEPIANE LUIS TTE GRAL COLECTORA Y MURGUIONDO,AVENIDA,"DELLEPIANE, LUIS, TTE. GRAL.",MURGUIONDO,"DELLEPIANE, LUIS, TTE. GRAL. y MURGUIONDO",Comuna 8,Point (98623.04338909 94933.06478837),-58.47832463,-34.67494416,PEATON-CARGAS,PEATON,CARGAS,98623.04338909,94933.06478837,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Miercoles
2016-0044,CONDUCTOR,MASCULINO,24,2016-03-31, Entre 21- 40,1.0,2016-03-31,2016.0,3.0,31.0,19:40:00,19.0,AV JOSE MARIA MORENO Y BALBASTRO,AVENIDA,"MORENO, JOSE MARIA AV.",BALBASTRO,"MORENO, JOSE MARIA AV. y BALBASTRO",Comuna 7,Point (102857.73817324 99148.76714504),-58.43213235,-34.63693953,MULTIPLE,MOTO,MULTIPLE,102857.73817324,99148.76714504,FLORES - PARQUE CHACABUCO,Jueves
2016-0045,CONDUCTOR,MASCULINO,0,,Menos de 20,1.0,2016-04-11,2016.0,4.0,11.0,10:25:00,10.0,AV GRAL PAZ Y AV DEL LIBERTADOR,GRAL PAZ,"PAZ, GRAL. AV.",DEL LIBERTADOR AV.,"PAZ, GRAL. AV. y DEL LIBERTADOR AV.",Comuna 13,Point (99620.34936816 110483.29286598),-58.46743471,-34.53476874,MOTO-SD,MOTO,SD,99620.34936816,110483.29286598,BELGRANO - COLEGIALES - NUÃ‘EZ,Lunes
2016-0047,PEATON,MASCULINO,41,2016-04-15,Entre 41-60,1.0,2016-04-15,2016.0,4.0,15.0,05:30:00,5.0,LIMA 1483,CALLE,LIMA,,LIMA 1483,Comuna 1,Point (107412.19098904 100391.02557777),-58.38247061,-34.62571878,PEATON-PASAJEROS,PEATON,PASAJEROS,107412.19098904,100391.02557777,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Viernes
2016-0048,PEATON,FEMENINO,0,,Menos de 20,1.0,2016-04-15,2016.0,4.0,15.0,17:40:00,17.0,AV. CORRIENTES Y AV. DORREGO,AVENIDA,CORRIENTES AV.,DORREGO AV.,CORRIENTES AV. y DORREGO AV.,Comuna 15,Point (101440.29935254 104167.40204334),-58.44759966,-34.5917024,PEATON-PASAJEROS,PEATON,PASAJEROS,101440.29935254,104167.40204334,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,Viernes
2016-0049,SD,SD,0,,Menos de 20,,,,,,,,,,,,,,,,,,,,,,,
2016-0050,PEATON,MASCULINO,78,2016-04-19,Entre 61-80,1.0,2016-04-19,2016.0,4.0,19.0,09:50:00,9.0,TIMOTEO GORDILLO Y AV FERNANDEZ DE LA CRUZ,AVENIDA,"GORDILLO, TIMOTEO","FERNANDEZ DE LA CRUZ, F., GRAL. AV.","GORDILLO, TIMOTEO y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",Comuna 8,Point (99106.14718950 93761.32882893),-58.47305463,-34.68550712,PEATON-PASAJEROS,PEATON,PASAJEROS,99106.1471895,93761.32882893,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Martes
2016-0051,CONDUCTOR,MASCULINO,36,2016-04-20, Entre 21- 40,1.0,2016-04-20,2016.0,4.0,20.0,04:00:00,4.0,AV AMANCIO ALCORTA Y BONAVENA,AVENIDA,"ALCORTA, AMANCIO AV.","BONAVENA, OSCAR NATALIO","ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",Comuna 4,Point (105230.98315750 97613.97258373),-58.40623949,-34.65076549,MOTO-CARGAS,MOTO,CARGAS,105230.9831575,97613.97258373,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,Miercoles
2016-0052,SD,SD,0,,Menos de 20,,,,,,,,,,,,,,,,,,,,,,,
2016-0053,PEATON,MASCULINO,38,2016-04-22, Entre 21- 40,1.0,2016-04-22,2016.0,4.0,22.0,09:30:00,9.0,AV TRIUNVIRATO Y AV OLAZABAL,AVENIDA,TRIUNVIRATO AV.,OLAZABAL AV.,TRIUNVIRATO AV. y OLAZABAL AV.,Comuna 12,Point (98073.80557770 105955.73972818),-58.4842918,-34.57558053,PEATON-PASAJEROS,PEATON,PASAJEROS,98073.8055777,105955.73972818,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,Viernes
2016-0054,CONDUCTOR,MASCULINO,30,2016-04-25, Entre 21- 40,1.0,2016-04-23,2016.0,4.0,23.0,21:00:00,21.0,AU LUIS DELLEPIANE Y AV GRAL PAZ,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,"PAZ, GRAL. AV.","AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y PAZ, GRAL. AV.",Comuna 8,Point (97832.57143731 93489.83736533),-58.48695354,-34.68795245,MOTO-MOTO,MOTO,MOTO,97832.57143731,93489.83736533,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Sabado
2016-0055,PEATON,MASCULINO,79,2016-04-28,Entre 61-80,1.0,2016-04-25,2016.0,4.0,25.0,20:30:00,20.0,RAMON CASTILLA Y AV FIGUEROA ALCORTA,AVENIDA,"CASTILLA, RAMON, MARISCAL","FIGUEROA ALCORTA, PRES. AV.","CASTILLA, RAMON, MARISCAL y FIGUEROA ALCORTA, PRES. AV.",Comuna 14,Point (105787.74102401 105502.98340149),-58.40021959,-34.57964781,PEATON-CARGAS,PEATON,CARGAS,105787.74102401,105502.98340149,PALERMO,Lunes
2016-0056,CONDUCTOR,MASCULINO,26,2016-04-26, Entre 21- 40,1.0,2016-04-26,2016.0,4.0,26.0,04:45:00,4.0,AV LUIS MARIA CAMPOS 30,AVENIDA,"CAMPOS, LUIS M. AV.",,"CAMPOS, LUIS M. AV. 30",Comuna 14,Point (103094.06446966 105842.29634122),-58.42957885,-34.57660058,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,103094.06446966,105842.29634122,PALERMO,Martes
2016-0058,PEATON,FEMENINO,57,2016-05-08,Entre 41-60,1.0,2016-05-04,2016.0,5.0,4.0,14:00:00,14.0,LIMA 1471,CALLE,LIMA,,LIMA 1471,Comuna 1,Point (107411.76356149 100408.31441284),-58.38247542,-34.62556293,PEATON-MOTO,PEATON,MOTO,107411.76356149,100408.31441284,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Miercoles
2016-0059,PEATON,MASCULINO,37,2016-05-26, Entre 21- 40,1.0,2016-05-08,2016.0,5.0,8.0,16:30:00,16.0,PASAJE CIUDADELA Y LIMA OESTE,CALLE,CIUDADELA,LIMA,CIUDADELA y LIMA,Comuna 1,Point (107434.83290791 100217.70308007),-58.38222219,-34.62728101,PEATON-PASAJEROS,PEATON,PASAJEROS,107434.83290791,100217.70308007,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Domingo
2016-0064,PEATON,MASCULINO,20,, Entre 21- 40,1.0,2016-05-14,2016.0,5.0,14.0,18:11:00,18.0,AV JUAN B JUSTO Y AV CARRASCO,AVENIDA,"JUSTO, JUAN B. AV.",CARRASCO AV.,"JUSTO, JUAN B. AV. y CARRASCO AV.",Comuna 10,Point (97106.70264812 99970.19547024),-58.49485242,-34.62953445,PEATON-PASAJEROS,PEATON,PASAJEROS,97106.70264812,99970.19547024,FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL,Sabado
2016-0065,PEATON,MASCULINO,20,2016-05-20, Entre 21- 40,1.0,2016-05-20,2016.0,5.0,20.0,14:40:00,14.0,AV GAONA Y ESPINOSA,AVENIDA,GAONA AV.,ESPINOSA,GAONA AV. y ESPINOSA,Comuna 6,Point (101010.75965434 102062.18185970),-58.45227946,-34.61068024,PEATON-AUTO,PEATON,AUTO,101010.75965434,102062.1818597,CABALLITO,Viernes
2016-0067,PASAJERO_ACOMPAÑANTE,FEMENINO,30,, Entre 21- 40,1.0,2016-05-21,2016.0,5.0,21.0,17:00:00,17.0,AV LISANDRO DE LA TORRE Y SARAZA,AVENIDA,"DE LA TORRE, LISANDRO",SARAZA,"DE LA TORRE, LISANDRO y SARAZA",Comuna 8,Point (98052.13008621 94912.60873025),-58.48455411,-34.6751276,MOTO-PASAJEROS,MOTO,PASAJEROS,98052.13008621,94912.60873025,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Sabado
2016-0068,CONDUCTOR,MASCULINO,58,,Entre 41-60,1.0,2016-05-22,2016.0,5.0,22.0,22:00:00,22.0,AV FIGUEROA ALCORTA Y AV PUEYRREDON,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",PUEYRREDON AV.,"FIGUEROA ALCORTA, PRES. AV. y PUEYRREDON AV.",Comuna 2,Point (106673.12856878 104998.99234220),-58.39056593,-34.58418569,MOTO-PASAJEROS,MOTO,PASAJEROS,106673.12856878,104998.9923422,RECOLETA,Domingo
2016-0069,CONDUCTOR,MASCULINO,30,2016-05-23, Entre 21- 40,1.0,2016-05-23,2016.0,5.0,23.0,03:30:00,3.0,AV ENTRE RIOS Y PASAJE FILIBERTO,AVENIDA,ENTRE RIOS AV.,FILIBERTO,ENTRE RIOS AV. y FILIBERTO,Comuna 3,Point (106612.54991859 100244.75667446),-58.39118948,-34.62704273,AUTO-CARGAS,AUTO,CARGAS,106612.54991859,100244.75667446,BALVANERA - SAN CRISTOBAL,Lunes
2016-0073,CONDUCTOR,MASCULINO,23,, Entre 21- 40,1.0,2016-06-11,2016.0,6.0,11.0,15:00:00,15.0,MAGARIÑOS CERVANTES 3900,CALLE,"MAGARI?OS CERVANTES, A.",,"MAGARIÃ‘OS CERVANTES, A. 3900",Comuna 10,Point (97531.24792840 101000.15957301),-58.49021952,-34.62025108,MOTO-CARGAS,MOTO,CARGAS,97531.2479284,101000.15957301,FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL,Sabado
2016-0074,CONDUCTOR,MASCULINO,60,,Entre 61-80,1.0,2016-06-12,2016.0,6.0,12.0,06:40:00,6.0,AV GRAL PAZ Y RODOLFO SCAPINO,GRAL PAZ,"PAZ, GRAL. AV.","SCAPINO, RODOLFO","PAZ, GRAL. AV. y SCAPINO, RODOLFO",Comuna 8,Point (96731.44252651 94668.88351657),-58.49896559,-34.67732118,AUTO-AUTO,AUTO,AUTO,96731.44252651,94668.88351657,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Domingo
