Id,Rol,Sexo,Edad,Fecha fallecimiento,Rango edad,Num víctimas,Fecha,Año,Mes,Día,Hora completa,Hora,Lugar del hecho,Tipo de calle,Calle,Cruce,Dirección normalizada,Comuna,Xy (caba),Pos x,Pos y,Participantes,Victima,Acusado,Coordenada x,Coordenada y,Barrios,Día semana
2017-0135,CONDUCTOR,MASCULINO,24,2017-11-07, Entre 21- 40,1.0,2017-11-07,2017.0,11.0,7.0,12:14:10,12.0,AV. WARNES Y PUNTA ARENAS,AVENIDA,WARNES AV.,PUNTA ARENAS,WARNES AV. y PUNTA ARENAS,Comuna 15,Point (99355.48397222 103660.98712619),-58.47032551,-34.59626814,MOTO-CARGAS,MOTO,CARGAS,99355.48397222,103660.98712619,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,Martes
2017-0136,PEATON,MASCULINO,55,2017-11-16,Entre 41-60,1.0,2017-11-16,2017.0,11.0,16.0,08:43:00,8.0,DEL BARCO CENTENERA Y RABANAL,AVENIDA,BARCO CENTENERA DEL,"RABANAL, FRANCISCO, INTENDENTE AV.","BARCO CENTENERA DEL y RABANAL, FRANCISCO, INTENDENTE AV.",Comuna 4,Point (104127.10295709 97119.53980201),-58.41827843,-34.65522746,PEATON-PASAJEROS,PEATON,PASAJEROS,104127.10295709,97119.53980201,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,Jueves
2017-0137,PEATON,FEMENINO,60,2017-11-17,Entre 61-80,1.0,2017-11-17,2017.0,11.0,17.0,11:45:00,11.0,AV. GRAL. ENRIQUE MOSCONI Y SAN NICOLAS,AVENIDA,MOSCONI GENERAL AV.,SAN NICOLAS,MOSCONI GENERAL AV. y SAN NICOLAS,Comuna 11,Point (95458.27090734 104045.28333021),-58.51280715,-34.59279388,PEATON-CARGAS,PEATON,CARGAS,95458.27090734,104045.28333021,VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA,Viernes
2017-0138,PASAJERO_ACOMPAÑANTE,MASCULINO,25,2017-11-19, Entre 21- 40,1.0,2017-11-19,2017.0,11.0,19.0,10:30:00,10.0,AV. LAFUENTE Y AV. EVA PERON,AVENIDA,LAFUENTE AV.,"PERON, EVA AV.","LAFUENTE AV. y PERON, EVA AV.",Comuna 7,Point (100065.47249269 98381.80497378),-58.46258582,-34.64385704,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,100065.47249269,98381.80497378,FLORES - PARQUE CHACABUCO,Domingo
2017-0139,PASAJERO_ACOMPAÑANTE,FEMENINO,15,2017-11-19,Menos de 20,1.0,2017-11-19,2017.0,11.0,19.0,22:30:00,22.0,AV. CNEL. ROCA Y AV. ESCALADA,AVENIDA,"ROCA, CNEL. AV.",ESCALADA AV.,"ROCA, CNEL. AV. y ESCALADA AV.",Comuna 8,Point (101160.07257435 94368.23344193),-58.45064148,-34.68003614,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,101160.07257435,94368.23344193,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Domingo
2017-0140,CONDUCTOR,MASCULINO,24,2017-11-19, Entre 21- 40,,,,,,,,,,,,,,,,,,,,,,,
2017-0141,PEATON,FEMENINO,22,2017-11-23, Entre 21- 40,1.0,2017-11-23,2017.0,11.0,23.0,19:45:00,19.0,AV. LA PLATA Y AV. PEDRO GOYENA,AVENIDA,LA PLATA AV.,"GOYENA, PEDRO AV.","LA PLATA AV. y GOYENA, PEDRO AV.",Comuna 6,Point (103312.47684665 100458.27902411),-58.42717783,-34.62513374,PEATON-PASAJEROS,PEATON,PASAJEROS,103312.47684665,100458.27902411,CABALLITO,Jueves
2017-0143,CONDUCTOR,MASCULINO,50,2017-11-25,Entre 41-60,1.0,2017-11-25,2017.0,11.0,25.0,21:45:00,21.0,TRELLES Y GRAL. CESAR DIAZ,CALLE,"TRELLES, MANUEL R.","DIAZ, CESAR, GRAL.","TRELLES, MANUEL R. y DIAZ, CESAR, GRAL.",Comuna 11,Point (99897.24182072 102443.29154512),-58.46442001,-34.60724519,AUTO-PASAJEROS,AUTO,PASAJEROS,99897.24182072,102443.29154512,VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA,Sabado
2017-0144,PASAJERO_ACOMPAÑANTE,FEMENINO,50,2017-11-26,Entre 41-60,1.0,2017-11-26,2017.0,11.0,26.0,06:45:00,6.0,AV. CNEL. ROCA Y COLECTORA AV. GRAL. PAZ,GRAL PAZ,"ROCA, CNEL. AV.","PAZ, GRAL. AV.","ROCA, CNEL. AV. y PAZ, GRAL. AV.",Comuna 8,Point (99327.01838497 92326.91130631),-58.47064556,-34.69843756,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,99327.01838497,92326.91130631,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Domingo
2017-0145,CONDUCTOR,MASCULINO,58,2017-11-26,Entre 41-60,1.0,2017-11-26,2017.0,11.0,26.0,17:05:00,17.0,MAZA Y DON BOSCO,CALLE,MAZA,DON BOSCO,MAZA y DON BOSCO,Comuna 5,Point (104266.88124229 101889.22080612),-58.41677733,-34.61223119,MOTO-AUTO,MOTO,AUTO,104266.88124229,101889.22080612,ALMAGRO - BOEDO,Domingo
